distance,consume,speed,temp_inside,temp_outside,total_bbm
28.0,5.0,26,21.5,12,1.4
12.0,4.2,30,21.5,13,0.504
11.2,5.5,38,21.5,15,0.616
12.9,3.9,36,21.5,14,0.5031
18.5,4.5,46,21.5,15,0.8325
8.3,6.4,50,21.5,10,0.5312
7.8,4.4,43,21.5,11,0.3432
12.3,5.0,40,21.5,6,0.615
4.9,6.4,26,21.5,4,0.31360000000000005
11.9,5.3,30,21.5,9,0.6307
12.4,5.6,42,21.5,4,0.6944
11.8,4.6,38,21.5,0,0.5428000000000001
12.3,5.9,59,21.5,10,0.7257000000000001
24.7,5.1,58,21.5,12,1.2596999999999998
12.4,4.7,46,21.5,11,0.5828
17.3,5.1,24,21.5,5,0.8823000000000001
33.4,5.6,36,21.5,3,1.8703999999999998
11.8,5.1,32,21.5,3,0.6018
25.9,4.9,39,21.5,8,1.2691
11.8,4.7,40,21.5,4,0.5546000000000001
25.3,5.5,32,21.5,3,1.3915
14.2,5.9,38,21.5,1,0.8378
17.9,5.7,37,21.5,1,1.0203
11.8,4.7,36,21.5,1,0.5546000000000001
12.3,5.9,62,21.5,6,0.7257000000000001
12.4,4.1,57,21.5,9,0.5084
18.4,5.7,21,22.5,2,1.0488
18.4,5.8,28,21.5,3,1.0672
18.3,5.5,29,21.5,1,1.0065
18.4,5.7,35,21.5,4,1.0488
12.3,5.3,51,21.5,11,0.6518999999999999
11.8,5.0,29,21.5,10,0.59
12.3,5.6,58,21.5,8,0.6888
32.6,4.8,40,21.5,7,1.5648
19.0,4.3,36,21.5,7,0.8170000000000001
12.1,5.7,36,21.5,8,0.6897
20.0,5.2,37,21.5,4,1.04
4.9,7.4,26,21.5,6,0.36260000000000003
11.8,4.8,23,21.5,9,0.5664
12.3,6.5,58,21.5,7,0.7995
12.4,4.0,55,21.5,7,0.496
4.5,5.0,29,21.5,7,0.225
11.7,4.6,37,21.5,6,0.5381999999999999
10.2,4.3,44,21.5,7,0.43859999999999993
5.4,3.3,32,21.5,7,0.1782
2.0,9.9,21,21.5,4,0.198
14.2,5.1,32,21.5,7,0.7241999999999998
16.0,4.9,25,21.5,8,0.784
11.8,4.9,25,21.5,11,0.5782
27.3,4.7,36,21.5,10,1.2831000000000001
11.8,5.1,29,21.5,5,0.6018
10.6,4.9,63,21.5,6,0.5194000000000001
11.6,4.2,61,21.5,7,0.48719999999999997
13.1,6.1,46,21.5,6,0.7990999999999999
6.1,6.4,28,21.5,8,0.39039999999999997
153.5,4.9,82,21.5,3,7.5215000000000005
11.8,4.9,24,21.5,7,0.5782
12.3,6.2,61,21.5,8,0.7626000000000001
12.4,4.2,57,21.5,8,0.5208
12.3,5.7,52,21.5,8,0.7011
2.9,7.9,18,21.5,9,0.2291
2.1,12.2,23,21.5,9,0.2562
9.8,5.8,24,21.5,6,0.5684
6.8,5.3,26,21.5,6,0.3604
12.4,5.4,24,21.5,7,0.6696000000000001
12.4,4.7,57,21.5,8,0.5828
11.8,4.6,41,21.5,6,0.5428000000000001
12.3,5.4,55,21.5,8,0.6642
14.0,4.3,40,21.5,8,0.602
11.8,4.5,37,21.5,4,0.531
12.3,5.2,55,21.5,12,0.6396000000000001
2.0,6.2,20,21.5,10,0.124
13.9,5.1,29,21.5,6,0.7089
9.7,3.9,42,21.5,8,0.37829999999999997
11.6,5.0,25,21.5,6,0.58
14.2,5.4,38,21.5,7,0.7668
11.8,4.5,39,21.5,6,0.531
24.8,5.1,50,21.5,9,1.2648
12.4,4.7,56,21.5,7,0.5828
34.8,4.0,28,20.0,4,1.392
14.2,5.4,36,20.0,6,0.7668
5.2,4.5,39,20.0,10,0.234
10.5,3.6,42,20.0,10,0.37800000000000006
12.3,5.2,57,20.0,10,0.6396000000000001
11.8,4.9,25,20.0,11,0.5782
12.3,6.2,58,20.0,11,0.7626000000000001
13.2,4.3,51,20.0,11,0.5676
13.0,5.0,45,20.0,11,0.65
12.9,5.1,32,20.0,11,0.6578999999999999
13.9,5.6,22,20.0,8,0.7784
11.8,4.3,37,20.0,6,0.5074000000000001
12.2,5.8,60,20.0,11,0.7075999999999999
12.5,4.0,51,20.0,13,0.5
11.8,5.9,21,20.0,9,0.6962
12.5,4.2,57,20.0,11,0.525
26.2,5.8,71,21.0,8,1.5195999999999998
4.9,6.9,25,21.0,12,0.3381
12.4,5.4,18,21.0,11,0.6696000000000001
22.9,5.3,45,20.5,7,1.2137
162.7,5.5,75,23.0,1,8.9485
4.9,6.5,26,21.0,1,0.3185
11.8,4.7,36,21.0,4,0.5546000000000001
16.6,5.1,56,21.0,7,0.8466
12.4,5.7,37,21.0,7,0.7068000000000001
15.9,5.4,25,21.0,7,0.8586000000000001
5.1,8.7,21,23.5,5,0.44369999999999993
22.4,4.9,66,20.5,7,1.0976000000000001
31.1,4.7,42,20.5,7,1.4617000000000002
4.9,6.3,27,20.5,3,0.30870000000000003
11.8,5.1,26,23.0,4,0.6018
22.9,6.0,42,23.0,4,1.3739999999999997
12.4,4.6,38,23.0,1,0.5704
12.9,5.8,40,23.0,4,0.7482
11.8,5.1,43,23.0,0,0.6018
12.2,5.8,58,23.0,2,0.7075999999999999
24.8,4.6,55,23.0,3,1.1408
14.2,5.6,24,23.0,8,0.7951999999999999
11.8,4.6,38,23.0,0,0.5428000000000001
12.2,6.3,57,23.0,0,0.7686
24.7,5.5,56,25.0,1,1.3585
6.8,4.3,46,24.0,2,0.2924
17.3,5.6,37,21.5,1,0.9688
11.8,4.3,44,21.5,-3,0.5074000000000001
15.9,5.7,46,21.5,5,0.9063000000000001
5.1,6.4,39,21.5,4,0.3264
16.1,4.5,33,21.5,6,0.7245
11.8,4.5,43,21.5,3,0.531
4.2,6.0,26,21.5,5,0.252
17.4,5.1,30,21.5,5,0.8873999999999999
23.5,6.0,25,21.5,5,1.41
11.8,4.5,38,21.5,5,0.531
12.3,6.1,61,21.5,10,0.7503
16.1,5.4,24,21.5,7,0.8694000000000002
11.8,4.3,40,21.5,10,0.5074000000000001
12.3,5.4,58,21.5,13,0.6642
12.4,4.3,49,21.5,17,0.5332
7.0,5.2,25,21.5,17,0.364
11.8,4.1,37,21.5,10,0.48379999999999995
20.1,4.4,41,21.5,18,0.8844000000000001
20.8,4.5,45,21.5,10,0.936
1.7,10.8,14,21.5,10,0.18359999999999999
35.9,4.7,45,21.5,12,1.6872999999999998
36.9,4.8,52,21.5,5,1.7711999999999997
16.8,4.0,46,21.5,8,0.672
9.9,5.0,28,21.5,9,0.495
22.9,4.6,61,21.5,7,1.0534
17.3,5.0,61,21.5,6,0.865
11.8,4.3,37,21.5,7,0.5074000000000001
36.6,5.2,80,21.5,7,1.9032000000000002
44.9,4.7,62,21.5,8,2.1103
11.8,4.2,34,21.5,9,0.49560000000000004
21.6,5.3,44,21.5,9,1.1448
39.4,5.3,60,21.5,9,2.0882
5.1,8.1,39,21.5,4,0.41309999999999997
26.6,4.8,38,21.5,7,1.2768000000000002
53.2,5.1,71,21.5,2,2.7132
18.9,4.4,53,21.5,2,0.8316
43.5,5.0,80,21.5,3,2.175
6.1,6.3,26,21.5,5,0.3843
16.4,4.8,49,21.5,5,0.7871999999999999
12.3,6.1,40,21.5,6,0.7503
21.1,4.6,36,21.5,8,0.9706
21.1,4.8,43,21.5,7,1.0128
22.7,4.7,55,21.5,6,1.0669
44.4,4.8,38,21.5,8,2.1311999999999998
35.8,4.4,51,21.5,6,1.5752000000000002
11.8,4.9,44,21.5,0,0.5782
26.2,4.9,42,21.5,6,1.2838
40.6,4.4,44,21.0,3,1.7864000000000002
12.4,5.3,38,21.0,-5,0.6572
14.1,5.3,47,21.0,-3,0.7472999999999999
58.7,4.8,75,21.0,0,2.8176
16.2,5.2,29,21.0,0,0.8423999999999999
12.3,4.9,50,22.5,0,0.6027000000000001
12.3,7.1,52,22.5,0,0.8733
12.4,5.2,51,22.5,1,0.6448
31.8,4.7,59,22.5,3,1.4946000000000002
12.3,5.1,55,22.5,8,0.6273
51.6,5.0,73,22.5,12,2.58
38.6,4.6,44,22.5,10,1.7756
12.3,4.8,41,22.5,7,0.5904
81.2,4.4,69,22.0,13,3.5728000000000004
130.3,4.6,85,22.0,12,5.9938
67.2,4.3,67,22.0,18,2.8895999999999997
43.7,4.7,44,22.0,9,2.0539
12.1,4.2,43,22.0,4,0.5082
56.1,4.8,82,22.0,13,2.6927999999999996
39.0,4.1,61,22.0,16,1.5989999999999998
11.8,4.5,41,21.5,13,0.531
38.5,4.8,63,21.5,14,1.8479999999999999
28.2,4.6,54,21.5,14,1.2972
2.9,7.4,24,21.5,14,0.2146
6.1,5.6,24,21.5,13,0.34159999999999996
19.6,4.9,43,21.5,13,0.9604000000000003
13.6,4.5,44,19.0,18,0.612
